csi,lambda,gamma,k,h,target
0,0,0,0,0,0
2.12586795201557e+15,92.9650931522443,0.757032625731101,8.06508522166091,4.817507,0.0971228943724689
1.19012599184632e+16,93.4896081951603,0.682430275001354,3.8579563546479,5.49132,0.047135176581819
7.7818581074439e+15,92.7465943550614,0.58825443474497,3.54306713718565,3.601694,0
1.37741317019616e+15,92.3325104080681,0.586046358906117,3.04383481982244,1.939333,0.00188755773549265
9.46304028434034e+15,95.0742545560501,0.504109877268777,5.13742720824984,6.32048,0.0427210126231167
0,0,0,0,0,0
0,0,0,0,0,0
936908717647126,90.2350026449873,0.364356778450328,2.21342018436716,1.88201,0
40407276875227.7,89.194575017312,1,2.33004325912331,2.904986,0
1248474408417.88,89.5817535207659,1,2.45002645520814,2.15453,0
285155854224.341,88.9905052821479,1,2.43922588377023,2.744627,0
30541728943.8178,90.845948642976,1,1.96924042348769,2.617481,0
8132376913.22961,91.0792239142418,1,2.42882458993158,3.930473,0
112968369.713416,91.0689072003403,1,2.64207258509613,2.613248,0
109296134.644865,90.6196454885978,1,2.43719927371203,2.497394,0
185468678.932964,90.4572106996702,1,2.26074710626825,3.821267,0
171009931.72268,90.3160221190147,1,2.28500061940897,1.895219,0
7309498011.14503,109.736777216444,1,2.19139689107443,1.649421,0
7922040789.91703,110.256664295159,1,3.45653568403689,2.10143,0
28597410614827,115.198576643498,0.750215008677277,4.39933326722645,3.837341,0
26944987442728.8,115.099441591304,0.807232167809527,3.15614054492077,3.612089,0
1.8802309635218e+15,113.156670728669,0.682430275001354,4.67771645510245,9.77843,0.053671358087209
0,0,0,0,0,0
0,0,0,0,0,0
2.99324802245411e+16,94.8438278154751,0.711945540971815,2.69069720492746,3.302264,0
0,0,0,0,0,0
227985076.197215,90.4357615109435,1,3.216645973441,3.468443,0
309786860.095353,90.5565474161365,1,2.85947035453538,4.594889,0
143571746385291,90.8524768286366,1,2.23902102543784,2.590028,0
108623373374046,91.5424402667552,1,2.58941248740042,3.177557,0
432586401577053,90.3931696494751,1,3.48617040066629,2.630024,0.00460773177692353
906237366588.388,108.639715709123,1,3.50026297947526,3.907061,0
