csi,lambda,gamma,k,h,target
309845755635.267,17.4328844218635,1,2.48462885252331,3.330671,0.00418608491354155
247421663949.282,18.7779534915988,1,2.06146581355689,1.830221,0
1221411495992.51,18.8698421055482,1,2.09667417514548,1.939169,0
1905963946810.32,17.6696094566694,1,1.88306388262398,2.147396,0.00140547446476957
1863994387873.58,17.7830894287502,1,1.87232889562021,1.533898,0.0456399129405842
2008836800390.32,20.2727486046873,1,1.92778633588378,1.939333,0
1899602265764.88,22.3310612919075,1,2.1351623012878,2.396144,0
3250859253806.72,22.6487773820609,0.945043488586514,1.89968266684517,2.07515,0
3466308703966.29,24.7226264765352,0.337697979098016,2.29682833679981,3.670976,0.169011253966424
1536300451429.52,26.0534027385369,0.700565936456421,2.05642430741279,1.88201,0
926595291846.551,27.8552358454038,0.995594309490144,2.27668315581341,2.904986,0.00454831185367477
342517845436.582,28.7173638932156,1,1.92233150190175,2.15453,0
661632408597.727,28.260612173308,1,2.33776895555335,2.744627,0
1626350945603.88,27.3632394916703,1,2.33429057525459,2.617481,0
4681038359808.31,25.5756736102215,1,2.49318940501345,3.930473,0.0303629712716328
2549204443431.35,27.3014792992885,1,1.93900701347358,2.613248,0.0439978081500821
380693067929.157,29.1597926316888,1,2.59583310495727,2.497394,0
4103385239627.63,31.2360953946761,1,2.72480890357252,3.821267,0.00789492581796802
3624950783017.69,35.1714108990018,0.451135177242806,1.83697313643834,1.895219,0
355217726982.236,37.8087445325091,0.995594309490144,1.82482178288923,1.649421,0
592135452563.101,38.0906070726253,1,2.28165694843435,2.10143,0
516590083347.602,37.6716604514572,1,2.41584945645825,3.837341,0.00855073535020801
787975601154.419,36.824156923009,1,2.3182381052775,3.612089,0.00971573299327244
3392320227380.29,37.7289702773683,1,1.91851903164205,3.433529,0.0637890035215791
478642684454.15,37.7197005337034,1,2.33227904948825,1.999115,0
281495043756.78,18.4434817383776,1,2.61869406297242,3.413423,0
565903646427.943,19.2898646532927,1,2.29224454377992,3.302264,0.0100936710732021
664808576413.484,20.581002974484,1,2.45140375873379,2.166791,0
2733669351658.53,21.6687452396765,1,2.33646411478857,3.468443,0.0164129555160687
5093490325466.24,20.8907199166285,1,1.92870979031497,1.864963,0
3451385330280.15,20.9300411659148,1,1.93434331228416,2.590028,0.00545273785871536
4.36042206637319e+15,23.9906772508309,0.948255728206172,1.73266294211975,1.392519,0.0183260047882068
1.63825713147386e+17,26.1237336737749,0.690646133399194,5.39059016215756,7.10008,0
1.72169564267832e+16,26.3407727719597,0.618470672555821,11.422708169666,11.35687,0
683439732406.063,27.9045733443325,0.647112080924243,2.24122812383517,1.874168,0.0081799423704898
216715677634.935,28.7601718452985,0.942990025592037,2.58249330349797,4.640783,0.013773632079796
275372437516.216,30.1736201023089,0.846707538742485,2.73739904432561,2.572736,0
603167819365.888,29.8226841942986,1,2.02934252053808,2.407763,0
13503331289750.3,29.1568560223375,1,2.28655345154946,2.6495,0
3.64244808207426e+16,27.8806954331253,1,4.84862038864928,4.179611,0
2.75023722062478e+16,28.8047719355099,0.897162118094611,2.07171344159126,2.812481,0.00510070661059792
8.34958617773086e+15,30.4312927548723,0.747127844734089,2.4922426575596,3.393881,0.00174395947651773
6153834854395.49,33.0762974387911,0.946330189072617,2.11091873487439,1.882118,0.00351789866203889
2494008738793.25,37.5879944136102,0.456020293868581,1.92143810110588,1.797468,0
387903051053.891,39.3906603020543,1,2.21541319758018,1.971765,0
728908215976.371,40.0129370904617,1,2.60770083026046,2.026232,0.00179091194640235
291939104792.98,38.6376165395381,1,2.09132941433267,1.962095,0
733500331129.948,39.2010806207874,1,2.16070174781917,2.583797,0.00179166414700627
332274499051.261,39.8095103467598,1,2.0662632215775,2.469914,0
253361829461.209,38.8895464624598,1,2.18936091428852,2.589104,0
1584444676868.7,19.7853578024008,1,2.46188816929145,1.916596,0.00350859160145356
1119552263852.97,20.3326404796001,1,2.42036946265683,3.679223,0.0157494332362907
1591521647917.8,21.8082810106854,1,2.66373093908246,3.728888,0.00303066464305868
1536793793953.01,23.1572850813658,1,2.04475078391047,1.970422,0
2610773363477.42,24.8424360557455,1,2.36341580810348,1.988326,0
5607507689311.67,24.4199199650958,1,1.7496494965203,1.385161,0.510160048110105
3.85909099739696e+17,24.5856422948526,0.651477110505967,8.52801218897867,12.63362,0.0173840931483445
7.75518697521352e+17,30.7432790807503,0.27904178924779,3.23990231285421,3.004607,0
1.98394875166335e+16,29.0503373719671,0.56429006761941,8.46973728971985,6.77753,0.00162076555630331
424701112799.181,28.2059334484556,0.655063449839675,2.3774690581308,3.217013,0.00354834838462237
470949190006.484,29.7119700189524,0.761548402318828,3.17590513205664,2.07998,0.0120827320576552
1316218058430.26,31.1014679471588,0.50515516710555,2.02160922267782,2.398883,0.00192278098364596
48495563687102.2,31.6616273122552,0.983076001879848,2.42024079500429,3.022784,0.00106353616112564
1.12005559006737e+16,30.252973262356,1,2.91732474278454,2.373344,0
8.16484969772404e+16,27.7400867512658,1,6.13687303064693,4.103039,0.0038020040869251
8.77767491401194e+16,28.8133171296628,0.693218327960531,4.67023005583263,7.016,0.00234481630517558
